Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,792.830017,798.429993,778.200012,788.789978,788.789978,931800000
2000-01-04,788.789978,788.789978,757.75,759.01001,759.01001,1009000000
2000-01-05,759.01001,768.22998,747.969971,761.52002,761.52002,1085500000
2000-01-06,761.52002,767.659973,756.559998,762.640015,762.640015,1092300000
2000-01-07,762.640015,783.51001,759.330017,783.48999,783.48999,1225200000
2000-01-10,783.48999,794.159973,783.48999,790.919983,790.919983,1064800000
2000-01-11,790.919983,795.669983,783.059998,785.25,785.25,1014000000
2000-01-12,785.25,788.299988,780.359985,782.72998,782.72998,974600000
2000-01-13,782.72998,791.349976,780.169983,787.960022,787.960022,1030400000
2000-01-14,787.960022,801.869995,787.960022,797.52002,797.52002,1085900000
2000-01-18,797.52002,800.849976,791.02002,795.679993,795.679993,1056700000
2000-01-19,795.679993,795.679993,787.969971,790.309998,790.309998,1087800000
2000-01-20,790.309998,797.169983,779.659973,783.330017,783.330017,1100700000
2000-01-21,783.330017,788.059998,778.289978,779.780029,779.780029,1209800000
2000-01-24,779.780029,787.900024,754.859985,758.73999,758.73999,1115800000
2000-01-25,758.73999,770.059998,755.320007,767.309998,767.309998,1073700000
2000-01-26,767.309998,770.690002,762.309998,762.789978,762.789978,1117300000
2000-01-27,762.789978,770.77002,737.320007,759.609985,759.609985,1129500000
2000-01-28,759.609985,759.609985,736.369995,738.039978,738.039978,1095800000
2000-01-31,738.039978,754.340027,731.440002,754.26001,754.26001,993800000
2000-02-01,754.26001,769.090027,751.380005,766.890015,766.890015,981000000
2000-02-02,766.890015,771.969971,762.619995,763.919983,763.919983,1038600000
2000-02-03,763.919983,772.570007,755.659973,771.960022,771.960022,1146500000
2000-02-04,771.960022,781.460022,771.960022,775.51001,775.51001,1045100000
2000-02-07,775.51001,778.400024,768.450012,774.190002,774.190002,918100000
2000-02-08,774.190002,783.690002,774.190002,782.210022,782.210022,1047700000
2000-02-09,782.210022,785.02002,765.469971,765.469971,765.469971,1050500000
2000-02-10,765.469971,771.679993,762.210022,768.97998,768.97998,1058800000
2000-02-11,768.97998,768.97998,746.73999,752.039978,752.039978,1025700000
2000-02-14,752.039978,757.98999,749.869995,756.799988,756.799988,927300000
2000-02-15,756.799988,766.330017,747.799988,763.059998,763.059998,1092100000
2000-02-16,763.059998,763.780029,753.630005,754.200012,754.200012,1018800000
2000-02-17,754.200012,761.190002,747.130005,752.190002,752.190002,1034800000
2000-02-18,752.190002,752.700012,728.140015,728.52002,728.52002,1042300000
2000-02-22,728.52002,734.75,719.47998,731.580017,731.580017,980000000
2000-02-23,731.580017,740.340027,724.429993,736.299988,736.299988,993700000
2000-02-24,736.299988,737.789978,718.669983,731.159973,731.159973,1215000000
2000-02-25,731.159973,734.719971,716.950012,719.780029,719.780029,1065200000
2000-02-28,719.780029,736.440002,716.75,727.75,727.75,1026500000
2000-02-29,727.75,741.47998,727.75,738.640015,738.640015,1204300000
2000-03-01,738.640015,748.409973,738.640015,743.539978,743.539978,1274100000
2000-03-02,743.539978,753,742.22998,750.26001,750.26001,1198600000
2000-03-03,750.26001,766.77002,750.26001,765.950012,765.950012,1150300000
2000-03-06,765.950012,765.950012,748.530029,752.960022,752.960022,1029000000
2000-03-07,752.960022,758.47998,729.02002,732.25,732.25,1314100000
2000-03-08,732.25,744.349976,727.890015,739.859985,739.859985,1203000000
2000-03-09,739.859985,757.109985,733.059998,756.969971,756.969971,1123000000
2000-03-10,756.969971,761.200012,747.01001,749.5,749.5,1138800000
2000-03-13,749.5,752.130005,732.640015,743,743,1016100000
2000-03-14,743,749,730.710022,730.75,730.75,1094000000
2000-03-15,730.75,753.340027,729.650024,749.299988,749.299988,1302800000
2000-03-16,749.299988,782,749.299988,781.929993,781.929993,1482300000
2000-03-17,781.929993,793.97998,778.77002,786.73999,786.73999,1295100000
2000-03-20,786.73999,790.119995,779.530029,785.299988,785.299988,920800000
2000-03-21,785.299988,806.909973,780.070007,806.869995,806.869995,1065900000
2000-03-22,806.869995,813.52002,802,810.549988,810.549988,1075000000
2000-03-23,810.549988,834.119995,806.190002,831.700012,831.700012,1078300000
2000-03-24,831.700012,846.400024,826.219971,832.650024,832.650024,1052200000
2000-03-27,832.650024,836.109985,826.309998,830.169983,830.169983,901000000
2000-03-28,830.169983,832.789978,821.080017,821.400024,821.400024,959100000
2000-03-29,821.400024,834.820007,817.580017,827.5,827.5,1061900000
2000-03-30,827.5,831.349976,807.169983,813.809998,813.809998,1193400000
2000-03-31,813.809998,829.830017,810.75,815.059998,815.059998,1227400000
2000-04-03,815.059998,820.619995,805.710022,820.619995,820.619995,1021700000
2000-04-04,820.630005,830.25,770.380005,813.289978,813.289978,1515460000
2000-04-05,813.289978,817.080017,801.169983,806.289978,806.289978,1110300000
2000-04-06,806.289978,820.880005,806.289978,814.090027,814.090027,1008000000
2000-04-07,814.090027,823.179993,812.849976,821.52002,821.52002,891600000
2000-04-10,821.52002,828.890015,816.570007,817.140015,817.140015,853700000
2000-04-11,817.140015,823.039978,807.580017,816.76001,816.76001,971400000
2000-04-12,816.76001,821.419983,792.27002,792.900024,792.900024,1175900000
2000-04-13,792.900024,797.570007,775.969971,777.289978,777.289978,1032000000
2000-04-14,761.98999,769,723.320007,731.960022,731.960022,1279700000
2000-04-17,731.960022,762.590027,724.880005,762.48999,762.48999,1204700000
2000-04-18,762.48999,785.919983,761.929993,785.919983,785.919983,1109400000
2000-04-19,785.919983,786.330017,769.630005,771.619995,771.619995,1001400000
2000-04-20,771.619995,777.130005,768.830017,777.119995,777.119995,896200000
2000-04-24,777.119995,777.119995,758.309998,772.549988,772.549988,868700000
2000-04-25,772.549988,795.880005,772.549988,795.549988,795.549988,1071100000
2000-04-26,795.549988,801.590027,786.090027,789.070007,789.070007,999600000
